BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2014,2014Q4,PERSONNEL BENEFITS,"24,999.96","6,249.99"
,OFFICE OF THE SPEAKER,2014,2014Q4,PERSONNEL COMPENSATION,"5,764,126.95","1,492,594.01"
,OFFICE OF THE SPEAKER,2014,2014Q4,TRAVEL,"10,225.70",603.10
,OFFICE OF THE SPEAKER,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES",232.61,0.00
,OFFICE OF THE SPEAKER,2014,2014Q4,PRINTING AND REPRODUCTION,"4,005.70",823.80
,OFFICE OF THE SPEAKER,2014,2014Q4,OTHER SERVICES,"3,881.92",49.00
,OFFICE OF THE SPEAKER,2014,2014Q4,SUPPLIES AND MATERIALS,"152,740.45","52,845.48"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,PERSONNEL COMPENSATION,"2,059,414.92","503,750.00"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,TRAVEL,"2,040.73",92.69
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES","2,079.45","2,079.45"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,PRINTING AND REPRODUCTION,"2,141.40","1,093.90"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,OTHER SERVICES,"1,114.30",0.00
,OFFICE OF THE MAJORITY LEADER,2014,2014Q4,SUPPLIES AND MATERIALS,"69,095.80","4,691.14"
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,SUPPLIES AND MATERIALS,"10,000.00",0.00
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,PERSONNEL COMPENSATION,"6,413,846.31","1,710,812.93"
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,TRAVEL,"109,473.07","35,345.63"
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES","1,329.78",319.36
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,PRINTING AND REPRODUCTION,"5,546.57",779.95
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,OTHER SERVICES,"85,658.00","23,134.00"
,OFFICE OF THE MINORITY LEADER,2014,2014Q4,SUPPLIES AND MATERIALS,"81,918.39","8,184.36"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q4,PERSONNEL COMPENSATION,"1,608,854.87","443,285.42"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q4,TRAVEL,"2,316.94",47.11
,OFFICE OF THE MAJORITY WHIP,2014,2014Q4,PRINTING AND REPRODUCTION,240.00,61.50
,OFFICE OF THE MAJORITY WHIP,2014,2014Q4,OTHER SERVICES,250.00,0.00
,OFFICE OF THE MAJORITY WHIP,2014,2014Q4,SUPPLIES AND MATERIALS,"20,819.32","6,358.69"
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,PERSONNEL COMPENSATION,"1,310,250.34","396,561.47"
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,TRAVEL,"1,754.94",336.33
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES",651.42,588.77
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,PRINTING AND REPRODUCTION,137.22,0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,OTHER SERVICES,"2,853.49",0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q4,SUPPLIES AND MATERIALS,"86,912.14","78,161.48"
,DEMOCRATIC CAUCUS,2014,2014Q4,PERSONNEL COMPENSATION,"1,305,399.70","390,163.21"
,DEMOCRATIC CAUCUS,2014,2014Q4,TRAVEL,"4,130.97","1,516.91"
,DEMOCRATIC CAUCUS,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES","2,045.77",219.28
,DEMOCRATIC CAUCUS,2014,2014Q4,PRINTING AND REPRODUCTION,"4,561.73",29.53
,DEMOCRATIC CAUCUS,2014,2014Q4,OTHER SERVICES,633.23,125.94
,DEMOCRATIC CAUCUS,2014,2014Q4,SUPPLIES AND MATERIALS,"126,754.49","78,099.20"
,DEMOCRATIC CAUCUS,2014,2014Q4,EQUIPMENT,46.38,46.38
,REPUBLICAN CONFERENCE,2014,2014Q4,PERSONNEL COMPENSATION,"1,325,495.99","380,992.09"
,REPUBLICAN CONFERENCE,2014,2014Q4,TRAVEL,"3,966.06","3,077.52"
,REPUBLICAN CONFERENCE,2014,2014Q4,"RENT, COMMUNICATION, UTILITIES",981.53,0.00
,REPUBLICAN CONFERENCE,2014,2014Q4,PRINTING AND REPRODUCTION,"5,865.38",0.00
,REPUBLICAN CONFERENCE,2014,2014Q4,OTHER SERVICES,"43,752.71","7,500.00"
,REPUBLICAN CONFERENCE,2014,2014Q4,SUPPLIES AND MATERIALS,"78,543.58","22,109.72"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,PERSONNEL COMPENSATION,"13,887,821.45","13,887,821.45"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,OTHER SERVICES,520.00,520.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,SUPPLIES AND MATERIALS,"8,001.80","8,001.80"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,EQUIPMENT,"8,273.92","8,273.92"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,TRAVEL,"35,051.66","35,051.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,"RENT, COMMUNICATION, UTILITIES","150,139.10","150,139.10"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,PRINTING AND REPRODUCTION,"4,351.87","4,351.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,OTHER SERVICES,"17,137.15","17,137.15"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,SUPPLIES AND MATERIALS,"126,696.80","126,696.80"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,EQUIPMENT,"29,063.27","29,063.27"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,"RENT, COMMUNICATION, UTILITIES","2,863.52","2,863.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,OTHER SERVICES,"249,590.65","249,590.65"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,EQUIPMENT,"32,390.68","32,390.68"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2014Q4,"RENT, COMMUNICATION, UTILITIES",4.22,4.22
