BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,342975,342975
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,645829.45,645829.45
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,TRAVEL,997.86,997.86
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",175.36,175.36
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,1243.7,1243.7
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,9919.06,9919.06
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2011Q4,PERSONNEL BENEFITS,5180.51,5180.51
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,252872.17,252872.17
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,298913.85,298913.85
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,FRANKED MAIL,1.52,1.52
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,TRAVEL,1866.59,1866.59
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",298.65,298.65
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,328.32,328.32
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,18109.33,18109.33
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,163388.33,163388.33
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,616260.77,616260.77
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,TRAVEL,22380.43,22380.43
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",1502.88,1502.88
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,1551.55,1551.55
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,21690.45,21690.45
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,12783.28,12783.28
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,116125.01,116125.01
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,344250,344250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,TRAVEL,16,16
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",73,73
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,6.5,6.5
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,20201.12,20201.12
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,351542.02,351542.02
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",1202.95,1202.95
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,157.2,157.2
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,572.98,572.98
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,8676.67,8676.67
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,105750,105750
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,183563.33,183563.33
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,67215.28,67215.28
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,260469.76,260469.76
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,TRAVEL,995.39,995.39
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",70,70
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,187.8,187.8
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,284.8,284.8
,DEMOCRATIC CAUCUS,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,6842.5,6842.5
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,81249.99,81249.99
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,243895.84,243895.84
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,TRAVEL,10.77,10.77
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",18.86,18.86
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,55,55
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,281.45,281.45
,REPUBLICAN CONFERENCE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,8755.52,8755.52
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,80000.04,80000.04
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,161374.98,161374.98
,MINORITY EMPLOYEES,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,382634.49,382634.49
,LEGISLATIVE FLOOR ACTIVITIES,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,32499.99,32499.99
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,22500,22500
,DS-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,79424.25,79424.25
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,88412.49,88412.49
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,120355.89,120355.89
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,149100,149100
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,126760.15,126760.15
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,56243.34,56243.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,14721537.52,14721537.52
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,78888.5,78888.5
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",390,390
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,1651.26,1651.26
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,157.89,157.89
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,111.5,111.5
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,93182.73,93182.73
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,10929.21,10929.21
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,TRAVEL,43424.65,43424.65
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",176536.09,176536.09
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,1602.9,1602.9
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,48491.16,48491.16
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,100275.81,100275.81
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,29883.61,29883.61
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",13.71,13.71
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,10850,10850
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,40,40
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,14540.6,14540.6
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,35477.36,35477.36
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,201282.33,201282.33
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",7156.69,7156.69
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,191052,191052
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,252000,252000
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,59650.62,59650.62
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,27121.5,27121.5
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,259786.34,259786.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",17263.57,17263.57
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,158.5,158.5
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,115660.32,115660.32
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,14700,14700
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,584.22,584.22
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,59949.75,59949.75
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",104.99,104.99
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,1308.34,1308.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,249991.32,249991.32
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,80774.4,80774.4
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,TRAVEL,8819.57,8819.57
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,175,175
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,4688961.36,4688961.36
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,TRAVEL,8220.38,8220.38
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",26875.12,26875.12
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,238.42,238.42
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,358698.61,358698.61
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,14918.91,14918.91
,CLERK OF THE HOUSE,FISCAL YEAR 2012,2011Q4,EQUIPMENT,64555.46,64555.46
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,PERSONNEL COMPENSATION,258799.65,258799.65
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,TRAVEL,460.63,460.63
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,"RENT, COMMUNICATION, UTILITIES",1314.52,1314.52
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,PRINTING AND REPRODUCTION,93.8,93.8
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,OTHER SERVICES,869.25,869.25
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2012,2011Q4,SUPPLIES AND MATERIALS,4316.81,4316.81
