BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,185966.34,185966.34
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,778187.06,778187.06
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,TRAVEL,16344.74,16344.74
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",2793.54,2793.54
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,3700.24,3700.24
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,16042.17,16042.17
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,33990.56,33990.56
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,19138,19138
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,81875.01,81875.01
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,495887.58,495887.58
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,TRAVEL,144.32,144.32
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,209.6,209.6
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,450.64,450.64
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL BENEFITS,2499.99,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,317849.97,317849.97
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,459870.46,459870.46
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,TRAVEL,4219.67,4219.67
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",328.14,328.14
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,92.9,92.9
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,5800,5800
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,25482.6,25482.6
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2010Q4,PERSONNEL BENEFITS,2499.99,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,49602.75,49602.75
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,360242.55,360242.55
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,TRAVEL,927.27,927.27
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",587.1,587.1
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,67.8,67.8
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,1233.6,1233.6
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,8590.15,8590.15
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,85799.01,85799.01
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,270884.8,270884.8
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,TRAVEL,116.5,116.5
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",4381.24,4381.24
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,10949.36,10949.36
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,4063.6,4063.6
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,45839.6,45839.6
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,201526.5,201526.5
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,229929.31,229929.31
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,77075.01,77075.01
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,321910.66,321910.66
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,TRAVEL,128,128
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,175,175
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,706.03,706.03
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,18907.29,18907.29
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,81875.01,81875.01
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,265555.53,265555.53
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,TRAVEL,3809.96,3809.96
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",1600,1600
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,100,100
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,34462.65,34462.65
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,9575.01,9575.01
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,47,47
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,80.72,80.72
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,172522.5,172522.5
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,1955.56,1955.56
,MINORITY EMPLOYEES,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,261107.49,261107.49
,LEGISLATIVE FLOOR ACTIVITIES,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,129375,129375
,RC-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,46144.41,46144.41
,DS-TRAINING & PROGRAM DEVEL.,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,38787.99,38787.99
,CLOAKROOM PERSONNEL - MAJ,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,106389,106389
,CLOAKROOM PERSONNEL - MIN,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,95787.48,95787.48
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,581775,581775
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,252232.59,252232.59
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,1655040,1655040
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,53517.34,53517.34
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,7483.17,7483.17
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PERSONNEL COMPENSATION,15074528.77,15074528.77
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,160.65,160.65
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,43872.7,43872.7
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,315395.65,315395.65
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",7218.08,7218.08
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,1619.25,1619.25
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,4315.8,4315.8
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,1798.59,1798.59
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,48,48
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,3306.87,3306.87
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",872.55,872.55
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,36061.28,36061.28
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,1526.87,1526.87
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,148,148
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,399.02,399.02
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,33721.82,33721.82
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",877762.13,877762.13
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,PRINTING AND REPRODUCTION,1062.3,1062.3
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,304995.26,304995.26
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,96531.29,96531.29
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,248325.26,248325.26
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,TRAVEL,88,88
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,"RENT, COMMUNICATION, UTILITIES",7635.26,7635.26
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,OTHER SERVICES,902000,902000
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,SUPPLIES AND MATERIALS,19.28,19.28
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2011,2010Q4,EQUIPMENT,128867.31,128867.31
