BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,526933.02,340966.68
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,1408810.99,630623.93
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,TRAVEL,19213.58,2868.84
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,"RENT, COMMUNICATION, UTILITIES",5444.85,2651.31
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,PRINTING AND REPRODUCTION,6211.94,2511.7
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,OTHER SERVICES,24595.17,8553
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,SUPPLIES AND MATERIALS,95387.7,61397.14
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,PERSONNEL BENEFITS,6249.99,6249.99
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q1,SUPPLIES AND MATERIALS,0,-19138
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,334695.39,252820.38
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,810961.37,315073.79
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,TRAVEL,2881.08,2736.76
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,"RENT, COMMUNICATION, UTILITIES",720.98,720.98
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,PRINTING AND REPRODUCTION,2596.7,2387.1
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,OTHER SERVICES,84.88,84.88
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,SUPPLIES AND MATERIALS,21436.71,20986.07
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q1,PERSONNEL BENEFITS,2499.99,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,484547.36,166697.39
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,PERSONNEL COMPENSATION,1126792.24,666921.78
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,TRAVEL,24266.43,20046.76
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,"RENT, COMMUNICATION, UTILITIES",3390.21,3062.07
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,PRINTING AND REPRODUCTION,4458.37,4365.47
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,OTHER SERVICES,29848.25,24048.25
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q1,SUPPLIES AND MATERIALS,150598.81,125116.21
