BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,869908.02,342975
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,2028833.15,620022.16
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,TRAVEL,24546.53,5332.95
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",5704.2,259.35
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,7641.44,1429.5
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,25090.17,495
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,119968.28,24580.58
,OFFICE OF THE SPEAKER,FISCAL YEAR 2011,2011Q2,PERSONNEL BENEFITS,12499.98,6249.99
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,591400.89,256705.5
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,1135248.83,324287.46
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,TRAVEL,8111.06,5229.98
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",2319.26,1598.28
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,2791.7,195
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,23784.88,23700
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,30597.26,9160.55
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL BENEFITS,2499.99,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,641234.14,156686.78
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,1801370.39,674578.15
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,TRAVEL,56781.37,32514.94
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",4616.82,1226.61
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,9366.67,4908.3
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,57024.5,27176.25
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,215309.29,64710.48
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,EQUIPMENT,499,499
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2011,2011Q2,PERSONNEL BENEFITS,2499.99,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,243449.5,137125
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,1112998.79,334291.66
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,TRAVEL,1897.13,969.86
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",2878.76,180.46
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,2393.25,505.45
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,5238.6,2250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,108045.15,48477.04
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2011,2011Q2,EQUIPMENT,16836,7500.05
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,87705.65,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,992447.93,358343
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,TRAVEL,1709.75,767.7
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",4428.52,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,22321.06,304
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,4272.14,208.54
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,81090.14,16261.67
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2011,2011Q2,PERSONNEL BENEFITS,1055.54,0
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,420047.82,96166.65
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,599212.47,184562.76
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,251562.5,97187.49
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,791004.66,224587.52
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,TRAVEL,17595.24,28
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",1155,0
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,PRINTING AND REPRODUCTION,1068.5,1068.5
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,3602.14,890.6
,DEMOCRATIC CAUCUS,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,36337.83,8170.89
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,232910.3,76250.01
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,736786.05,245166.67
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,TRAVEL,3989.96,79
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,"RENT, COMMUNICATION, UTILITIES",5252.16,1655.56
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,100,0
,REPUBLICAN CONFERENCE,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,107804.04,45635.35
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,167996.74,80000.04
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q2,OTHER SERVICES,47,0
,REPUBLICAN POLICY COMMITTEE,FISCAL YEAR 2011,2011Q2,SUPPLIES AND MATERIALS,176.48,0
,REPUBLICAN STEERING COMMITTEE,FISCAL YEAR 2011,2011Q2,PERSONNEL COMPENSATION,512851.02,154649.15
