BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,CLERK OF THE HOUSE,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,80,80
,COMMUNICATIONS,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,61171.98,25907.61
,COMMUNICATIONS,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,8065.36,649.48
,COMMUNICATIONS,FISCAL YEAR 2009,2009Q3,EQUIPMENT,276699.04,242321.22
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,643521.04,223042.08
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,3568489.45,1115682.15
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,5341.62,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,TRAVEL,55326.64,16187.09
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",13530.31,1099.31
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,22551.74,7797.85
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,95870.01,23544
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,251682.69,63036.76
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,2956.98,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,24737.89,135
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,253824.99,125625
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,2079387.56,596097.72
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,1919.1,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,TRAVEL,1708.43,109
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",705.88,-513.07
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,3296.6,795
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,477.2,95.18
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,66700.22,19867.98
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,EQUIPMENT,177.74,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,9999.96,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,1135852.68,311111.07
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,1619819.53,485071.61
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,1958.72,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,TRAVEL,12115.13,3438
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",6744.22,675.47
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,5358.17,128.7
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,4172.29,395
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,162291.33,84973.26
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,9999.96,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,164333.32,41250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,1341312.91,335152.77
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,1492.85,0
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,TRAVEL,6572.89,3570.63
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",687.62,252.3
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,693.32,324.72
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,1999.66,1583.17
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,72652.03,18684.9
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,143476.35,85799.01
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL COMPENSATION,1285271.96,343758.33
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,PERSONNEL BENEFITS,2059.15,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,TRAVEL,3210.33,2032.26
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,"RENT, COMMUNICATION, UTILITIES",4879.76,703.53
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,PRINTING AND REPRODUCTION,6251.32,397.91
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,OTHER SERVICES,6120,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,SUPPLIES AND MATERIALS,129271.05,65397.4
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2009,2009Q3,EQUIPMENT,2363.92,448.94
