BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2013,2013Q3,PERSONNEL BENEFITS,"18,749.97","6,249.99"
,OFFICE OF THE SPEAKER,2013,2013Q3,PERSONNEL COMPENSATION,"4,141,945.70","1,414,356.47"
,OFFICE OF THE SPEAKER,2013,2013Q3,TRAVEL,"4,594.75","3,163.57"
,OFFICE OF THE SPEAKER,2013,2013Q3,"RENT, COMMUNICATION, UTILITIES",282.56,207.76
,OFFICE OF THE SPEAKER,2013,2013Q3,PRINTING AND REPRODUCTION,"3,759.02",786.90
,OFFICE OF THE SPEAKER,2013,2013Q3,OTHER SERVICES,"11,615.00",240.00
,OFFICE OF THE SPEAKER,2013,2013Q3,SUPPLIES AND MATERIALS,"123,531.54","69,899.00"
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,PERSONNEL COMPENSATION,"1,451,769.79","514,858.30"
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,TRAVEL,"1,604.33",512.51
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,"RENT, COMMUNICATION, UTILITIES",347.70,312.70
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,PRINTING AND REPRODUCTION,533.76,211.16
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,OTHER SERVICES,208.99,0.00
,OFFICE OF THE MAJORITY LEADER,2013,2013Q3,SUPPLIES AND MATERIALS,"56,197.39","45,913.64"
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,SUPPLIES AND MATERIALS,"7,189.22","5,195.00"
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,PERSONNEL COMPENSATION,"4,733,445.03","1,608,194.14"
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,TRAVEL,"80,472.62","39,157.32"
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,"RENT, COMMUNICATION, UTILITIES","1,873.69",611.91
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,PRINTING AND REPRODUCTION,"8,705.62",918.50
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,OTHER SERVICES,"76,175.96","25,157.96"
,OFFICE OF THE MINORITY LEADER,2013,2013Q3,SUPPLIES AND MATERIALS,"152,520.56","16,436.44"
,OFFICE OF THE MAJORITY WHIP,2013,2013Q3,PERSONNEL COMPENSATION,"1,204,200.01","435,000.00"
