BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,4821,2416
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,10789.36,9810
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q3,EQUIPMENT,55422.97,8803.06
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,756294.58,87291.67
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,3668041.27,858778.35
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,TRAVEL,84358.67,36077.26
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",19138.13,1386.48
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,PRINTING AND REPRODUCTION,19259.52,5224.44
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,89656.16,22884
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,265872.37,48449.4
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,EQUIPMENT,499,499
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",45.38,45.38
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,0,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,24048.8,561.47
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,418983.38,84875.01
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,1993177.11,578767.05
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,TRAVEL,227.09,93.94
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",157.3,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,PRINTING AND REPRODUCTION,709.1,233.5
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,583.56,180.38
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,73290.09,15590.84
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL BENEFITS,9999.96,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,1231570.43,317849.97
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,1786391.17,457571.5
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,TRAVEL,4394.9,3958.9
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",1107.26,281.44
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,PRINTING AND REPRODUCTION,264.65,19.2
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,495,0
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,112158.13,21014.02
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q3,PERSONNEL BENEFITS,9999.96,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,165474.66,41250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,1396457.15,345582.77
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,TRAVEL,3065.64,959.84
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",602.03,45.98
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,PRINTING AND REPRODUCTION,950.3,219
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,7034.15,2189.34
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,89650.43,16009.42
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,352706.06,85799.01
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,1090762.94,274837.66
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,TRAVEL,12546.47,2498.18
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,"RENT, COMMUNICATION, UTILITIES",590.87,7.61
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,PRINTING AND REPRODUCTION,2607.29,69.85
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,OTHER SERVICES,990,0
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q3,SUPPLIES AND MATERIALS,205152.3,41316.69
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,360625,116250
,DEMOCRATIC STEERING AND POLICY,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,993797.64,327360.3
,DEMOCRATIC CAUCUS,FISCAL YEAR 2010,2010Q3,PERSONNEL COMPENSATION,302250.03,74375.01
