BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,1300,1300
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,208.2,208.2
,COMMUNICATIONS,FISCAL YEAR 2010,2009Q4,EQUIPMENT,48,48
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,220964.58,220964.58
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,904613.96,904613.96
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,TRAVEL,7164.05,7164.05
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",10931.35,10931.35
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,5101.17,5101.17
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,16801.48,16801.48
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,50599.55,50599.55
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,813.43,813.43
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,110625,110625
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,453349.89,453349.89
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,TRAVEL,75.75,75.75
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",84.5,84.5
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,6.4,6.4
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,OTHER SERVICES,222.81,222.81
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,11368.09,11368.09
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL BENEFITS,2499.99,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,293349.96,293349.96
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,426947.45,426947.45
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,TRAVEL,36,36
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",138.51,138.51
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,27.8,27.8
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,SUPPLIES AND MATERIALS,27655.1,27655.1
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2009Q4,PERSONNEL BENEFITS,2499.99,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,41250,41250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PERSONNEL COMPENSATION,342059.72,342059.72
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,TRAVEL,106,106
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,"RENT, COMMUNICATION, UTILITIES",126.04,126.04
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2009Q4,PRINTING AND REPRODUCTION,181.5,181.5
