BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2012,2012Q3,PERSONNEL BENEFITS,18749.97,6249.99
,OFFICE OF THE SPEAKER,2012,2012Q3,FRANKED MAIL,0,-660.09
,OFFICE OF THE SPEAKER,2012,2012Q3,PERSONNEL COMPENSATION,3912767.31,1267051.97
,OFFICE OF THE SPEAKER,2012,2012Q3,TRAVEL,7979.26,3587.88
,OFFICE OF THE SPEAKER,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",231.18,0
,OFFICE OF THE SPEAKER,2012,2012Q3,PRINTING AND REPRODUCTION,2658.1,600.5
,OFFICE OF THE SPEAKER,2012,2012Q3,OTHER SERVICES,7155.5,990
,OFFICE OF THE SPEAKER,2012,2012Q3,SUPPLIES AND MATERIALS,87637.92,51053.64
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,FRANKED MAIL,0,-123.32
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,PERSONNEL COMPENSATION,1566505.45,504974.94
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,TRAVEL,3204.27,376.44
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",1222.26,0
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,PRINTING AND REPRODUCTION,834.09,292.85
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,OTHER SERVICES,5136.82,3557.71
,OFFICE OF THE MAJORITY LEADER,2012,2012Q3,SUPPLIES AND MATERIALS,57758.4,7454.49
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,FRANKED MAIL,0,-201.99
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,PERSONNEL COMPENSATION,5005585.2,1674220.11
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,TRAVEL,101663.13,29875
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",1713.5,463.7
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,PRINTING AND REPRODUCTION,6473.06,2149.88
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,OTHER SERVICES,83428.75,32012
,OFFICE OF THE MINORITY LEADER,2012,2012Q3,SUPPLIES AND MATERIALS,91497.6,28974.05
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,PERSONNEL COMPENSATION,1264541.68,426575
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,TRAVEL,2295.53,2295.53
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",237.23,0
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,PRINTING AND REPRODUCTION,732.34,700.34
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,OTHER SERVICES,547,-3000
,OFFICE OF THE MAJORITY WHIP,2012,2012Q3,SUPPLIES AND MATERIALS,95881.89,42633.39
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,FRANKED MAIL,0,-23.88
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,PERSONNEL COMPENSATION,1056557.6,447524.29
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,TRAVEL,1212.62,794.07
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",509.85,-10.3
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,PRINTING AND REPRODUCTION,6590.3,692.9
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,OTHER SERVICES,1989.39,808.88
,OFFICE OF THE MINORITY WHIP,2012,2012Q3,SUPPLIES AND MATERIALS,45055.86,25526.16
,DEMOCRATIC CAUCUS,2012,2012Q3,FRANKED MAIL,0,-15.11
,DEMOCRATIC CAUCUS,2012,2012Q3,PERSONNEL COMPENSATION,1086329.93,410186.95
,DEMOCRATIC CAUCUS,2012,2012Q3,TRAVEL,15013.36,91
,DEMOCRATIC CAUCUS,2012,2012Q3,PRINTING AND REPRODUCTION,269.83,191.03
,DEMOCRATIC CAUCUS,2012,2012Q3,OTHER SERVICES,3396.6,1586.74
,DEMOCRATIC CAUCUS,2012,2012Q3,SUPPLIES AND MATERIALS,40581.5,-64431.56
,REPUBLICAN CONFERENCE,2012,2012Q3,PERSONNEL COMPENSATION,873619.66,263759.71
,REPUBLICAN CONFERENCE,2012,2012Q3,TRAVEL,309,188
,REPUBLICAN CONFERENCE,2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",5359.95,975
,REPUBLICAN CONFERENCE,2012,2012Q3,PRINTING AND REPRODUCTION,3862.62,0
,REPUBLICAN CONFERENCE,2012,2012Q3,OTHER SERVICES,404.75,261.9
,REPUBLICAN CONFERENCE,2012,2012Q3,SUPPLIES AND MATERIALS,39387.43,18734.08
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q3,PERSONNEL COMPENSATION,548779.96,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q3,PERSONNEL COMPENSATION,857027.29,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q3,TRAVEL,1870.69,0
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q3,"RENT, COMMUNICATION, UTILITIES",1116.49,150.71
