BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2013,2013Q2,PERSONNEL BENEFITS,"12,499.98","6,249.99"
,OFFICE OF THE SPEAKER,2013,2013Q2,PERSONNEL COMPENSATION,"2,727,589.23","1,407,435.17"
,OFFICE OF THE SPEAKER,2013,2013Q2,TRAVEL,"1,431.18",995.94
,OFFICE OF THE SPEAKER,2013,2013Q2,"RENT, COMMUNICATION, UTILITIES",74.80,74.80
,OFFICE OF THE SPEAKER,2013,2013Q2,PRINTING AND REPRODUCTION,"2,972.12",824.12
,OFFICE OF THE SPEAKER,2013,2013Q2,OTHER SERVICES,"11,375.00","11,375.00"
,OFFICE OF THE SPEAKER,2013,2013Q2,SUPPLIES AND MATERIALS,"53,632.54","44,308.78"
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,PERSONNEL COMPENSATION,"936,911.49","473,486.08"
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,TRAVEL,"1,091.82",750.89
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,"RENT, COMMUNICATION, UTILITIES",35.00,35.00
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,PRINTING AND REPRODUCTION,322.60,109.00
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,OTHER SERVICES,208.99,208.99
,OFFICE OF THE MAJORITY LEADER,2013,2013Q2,SUPPLIES AND MATERIALS,"10,283.75","6,837.54"
,OFFICE OF THE MINORITY LEADER,2013,2013Q2,SUPPLIES AND MATERIALS,"1,994.22",670.00
,OFFICE OF THE MINORITY LEADER,2013,2013Q2,PERSONNEL COMPENSATION,"3,125,250.89","1,576,780.40"
,OFFICE OF THE MINORITY LEADER,2013,2013Q2,TRAVEL,"41,315.30","33,638.27"
,OFFICE OF THE MINORITY LEADER,2013,2013Q2,"RENT, COMMUNICATION, UTILITIES","1,261.78","1,111.46"
