BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2014,2014Q1,PERSONNEL BENEFITS,"6,249.99","6,249.99"
,OFFICE OF THE SPEAKER,2014,2014Q1,PERSONNEL COMPENSATION,"1,352,614.88","1,352,614.88"
,OFFICE OF THE SPEAKER,2014,2014Q1,TRAVEL,"5,097.70","5,097.70"
,OFFICE OF THE SPEAKER,2014,2014Q1,PRINTING AND REPRODUCTION,"1,447.90","1,447.90"
,OFFICE OF THE SPEAKER,2014,2014Q1,OTHER SERVICES,250.00,250.00
,OFFICE OF THE SPEAKER,2014,2014Q1,SUPPLIES AND MATERIALS,"44,926.26","44,926.26"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q1,PERSONNEL COMPENSATION,"507,639.98","507,639.98"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q1,TRAVEL,481.92,481.92
,OFFICE OF THE MAJORITY LEADER,2014,2014Q1,PRINTING AND REPRODUCTION,167.90,167.90
,OFFICE OF THE MAJORITY LEADER,2014,2014Q1,OTHER SERVICES,14.00,14.00
,OFFICE OF THE MAJORITY LEADER,2014,2014Q1,SUPPLIES AND MATERIALS,"6,624.20","6,624.20"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,SUPPLIES AND MATERIALS,"10,000.00","10,000.00"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,PERSONNEL COMPENSATION,"1,560,472.30","1,560,472.30"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,TRAVEL,"19,088.67","19,088.67"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,"RENT, COMMUNICATION, UTILITIES",388.42,388.42
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,PRINTING AND REPRODUCTION,"1,747.92","1,747.92"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,OTHER SERVICES,"16,756.00","16,756.00"
,OFFICE OF THE MINORITY LEADER,2014,2014Q1,SUPPLIES AND MATERIALS,"20,329.47","20,329.47"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q1,PERSONNEL COMPENSATION,"391,900.01","391,900.01"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q1,SUPPLIES AND MATERIALS,"2,513.63","2,513.63"
,OFFICE OF THE MINORITY WHIP,2014,2014Q1,PERSONNEL COMPENSATION,"280,343.08","280,343.08"
,OFFICE OF THE MINORITY WHIP,2014,2014Q1,TRAVEL,239.42,239.42
,OFFICE OF THE MINORITY WHIP,2014,2014Q1,"RENT, COMMUNICATION, UTILITIES",16.50,16.50
,OFFICE OF THE MINORITY WHIP,2014,2014Q1,PRINTING AND REPRODUCTION,137.22,137.22
,OFFICE OF THE MINORITY WHIP,2014,2014Q1,SUPPLIES AND MATERIALS,595.00,595.00
,DEMOCRATIC CAUCUS,2014,2014Q1,PERSONNEL COMPENSATION,"297,008.88","297,008.88"
,DEMOCRATIC CAUCUS,2014,2014Q1,TRAVEL,"2,034.02","2,034.02"
,DEMOCRATIC CAUCUS,2014,2014Q1,"RENT, COMMUNICATION, UTILITIES",18.40,18.40
,DEMOCRATIC CAUCUS,2014,2014Q1,PRINTING AND REPRODUCTION,13.00,13.00
,DEMOCRATIC CAUCUS,2014,2014Q1,OTHER SERVICES,86.50,86.50
,DEMOCRATIC CAUCUS,2014,2014Q1,SUPPLIES AND MATERIALS,"11,820.28","11,820.28"
,REPUBLICAN CONFERENCE,2014,2014Q1,PERSONNEL COMPENSATION,"326,121.09","326,121.09"
,REPUBLICAN CONFERENCE,2014,2014Q1,TRAVEL,497.65,497.65
,REPUBLICAN CONFERENCE,2014,2014Q1,"RENT, COMMUNICATION, UTILITIES",923.95,923.95
,REPUBLICAN CONFERENCE,2014,2014Q1,OTHER SERVICES,"18,186.58","18,186.58"
,REPUBLICAN CONFERENCE,2014,2014Q1,SUPPLIES AND MATERIALS,"18,699.59","18,699.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"1,829,519.98","1,829,519.98"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,PERSONNEL COMPENSATION,"27,409,301.16","13,763,898.20"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"3,504.00","1,752.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,PRINTING AND REPRODUCTION,96.50,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"27,675.94","12,786.94"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,SUPPLIES AND MATERIALS,"23,345.39","23,345.39"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"32,300.06","23,376.16"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,TRAVEL,"44,864.35","26,037.17"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,"RENT, COMMUNICATION, UTILITIES","367,081.80","214,009.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,PRINTING AND REPRODUCTION,"40,666.20","39,544.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"298,320.69","286,675.62"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,SUPPLIES AND MATERIALS,"448,463.56","387,163.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"180,624.82","88,288.26"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,"RENT, COMMUNICATION, UTILITIES","10,564.92","10,564.92"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"1,002,102.91","999,872.13"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"46,553.50","28,265.13"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,"RENT, COMMUNICATION, UTILITIES",90.07,50.82
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"9,445.00","6,567.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,SUPPLIES AND MATERIALS,"1,600.00","1,600.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"38,158.90","13,201.52"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"9,521.66","9,521.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"106,803.85","106,335.85"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"254,914.67","179,082.70"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"453,255.04","319,903.04"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"626,300.00","417,532.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,SUPPLIES AND MATERIALS,109.45,109.45
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"308,507.90","308,507.90"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,SUPPLIES AND MATERIALS,"39,651.57","38,401.57"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"3,255.50","3,255.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,"RENT, COMMUNICATION, UTILITIES","15,323.37","15,323.37"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"574,825.30","570,797.48"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"94,500.66","77,754.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"529,698.40","529,698.40"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"258,532.04","258,532.04"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,OTHER SERVICES,"195,750.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q1,EQUIPMENT,"7,603.53","7,603.53"
