BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2012,2012Q1,PERSONNEL BENEFITS,6249.99,6249.99
,OFFICE OF THE SPEAKER,2012,2012Q1,FRANKED MAIL,203.19,203.19
,OFFICE OF THE SPEAKER,2012,2012Q1,PERSONNEL COMPENSATION,1322565.28,1322565.28
,OFFICE OF THE SPEAKER,2012,2012Q1,TRAVEL,1355.42,1355.42
,OFFICE OF THE SPEAKER,2012,2012Q1,PRINTING AND REPRODUCTION,942.1,942.1
,OFFICE OF THE SPEAKER,2012,2012Q1,OTHER SERVICES,6165.5,6165.5
,OFFICE OF THE SPEAKER,2012,2012Q1,SUPPLIES AND MATERIALS,14278.91,14278.91
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,FRANKED MAIL,78.52,78.52
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,PERSONNEL COMPENSATION,522006.44,522006.44
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,TRAVEL,624.05,624.05
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES",1051.81,1051.81
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,PRINTING AND REPRODUCTION,183.58,183.58
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,OTHER SERVICES,409.11,409.11
,OFFICE OF THE MAJORITY LEADER,2012,2012Q1,SUPPLIES AND MATERIALS,46704.26,46704.26
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,FRANKED MAIL,103.57,103.57
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,PERSONNEL COMPENSATION,1640182.59,1640182.59
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,TRAVEL,29677.86,29677.86
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES",601,601
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,PRINTING AND REPRODUCTION,1197.87,1197.87
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,OTHER SERVICES,22190.5,22190.5
,OFFICE OF THE MINORITY LEADER,2012,2012Q1,SUPPLIES AND MATERIALS,25751.62,25751.62
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,PERSONNEL COMPENSATION,404833.35,404833.35
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,"RENT, COMMUNICATION, UTILITIES",233,233
,OFFICE OF THE MAJORITY WHIP,2012,2012Q1,SUPPLIES AND MATERIALS,18538.7,18538.7
,OFFICE OF THE MINORITY WHIP,2012,2012Q1,FRANKED MAIL,23.88,23.88
,OFFICE OF THE MINORITY WHIP,2012,2012Q1,PERSONNEL COMPENSATION,296651.34,296651.34
