BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2014,2014Q2,PERSONNEL BENEFITS,"12,499.98","6,249.99"
,OFFICE OF THE SPEAKER,2014,2014Q2,PERSONNEL COMPENSATION,"2,762,119.68","1,409,504.80"
,OFFICE OF THE SPEAKER,2014,2014Q2,TRAVEL,"7,070.57","1,972.87"
,OFFICE OF THE SPEAKER,2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",232.61,232.61
,OFFICE OF THE SPEAKER,2014,2014Q2,PRINTING AND REPRODUCTION,"1,942.70",494.80
,OFFICE OF THE SPEAKER,2014,2014Q2,OTHER SERVICES,"3,545.95","3,295.95"
,OFFICE OF THE SPEAKER,2014,2014Q2,SUPPLIES AND MATERIALS,"74,604.19","29,677.93"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q2,PERSONNEL COMPENSATION,"1,032,242.71","524,602.73"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q2,TRAVEL,"1,425.90",943.98
,OFFICE OF THE MAJORITY LEADER,2014,2014Q2,PRINTING AND REPRODUCTION,230.30,62.40
,OFFICE OF THE MAJORITY LEADER,2014,2014Q2,OTHER SERVICES,"1,071.30","1,057.30"
,OFFICE OF THE MAJORITY LEADER,2014,2014Q2,SUPPLIES AND MATERIALS,"58,653.19","52,028.99"
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,SUPPLIES AND MATERIALS,"10,000.00",0.00
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,PERSONNEL COMPENSATION,"3,146,106.21","1,585,633.91"
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,TRAVEL,"54,898.66","35,809.99"
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",750.47,362.05
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,PRINTING AND REPRODUCTION,"3,500.22","1,752.30"
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,OTHER SERVICES,"39,640.00","22,884.00"
,OFFICE OF THE MINORITY LEADER,2014,2014Q2,SUPPLIES AND MATERIALS,"50,238.00","29,908.53"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q2,PERSONNEL COMPENSATION,"799,900.01","408,000.00"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q2,TRAVEL,"1,513.13","1,513.13"
,OFFICE OF THE MAJORITY WHIP,2014,2014Q2,PRINTING AND REPRODUCTION,178.50,178.50
,OFFICE OF THE MAJORITY WHIP,2014,2014Q2,OTHER SERVICES,250.00,250.00
,OFFICE OF THE MAJORITY WHIP,2014,2014Q2,SUPPLIES AND MATERIALS,"10,610.79","8,097.16"
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,PERSONNEL COMPENSATION,"581,878.43","301,535.35"
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,TRAVEL,705.90,466.48
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",62.65,46.15
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,PRINTING AND REPRODUCTION,137.22,0.00
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,OTHER SERVICES,"2,853.49","2,853.49"
,OFFICE OF THE MINORITY WHIP,2014,2014Q2,SUPPLIES AND MATERIALS,"1,238.94",643.94
,DEMOCRATIC CAUCUS,2014,2014Q2,PERSONNEL COMPENSATION,"613,191.38","316,182.50"
,DEMOCRATIC CAUCUS,2014,2014Q2,TRAVEL,"2,034.02",0.00
,DEMOCRATIC CAUCUS,2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",327.20,308.80
,DEMOCRATIC CAUCUS,2014,2014Q2,PRINTING AND REPRODUCTION,148.00,135.00
,DEMOCRATIC CAUCUS,2014,2014Q2,OTHER SERVICES,372.36,285.86
,DEMOCRATIC CAUCUS,2014,2014Q2,SUPPLIES AND MATERIALS,"34,212.10","22,391.82"
,REPUBLICAN CONFERENCE,2014,2014Q2,PERSONNEL COMPENSATION,"650,020.87","323,899.78"
,REPUBLICAN CONFERENCE,2014,2014Q2,TRAVEL,649.08,151.43
,REPUBLICAN CONFERENCE,2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",971.73,47.78
,REPUBLICAN CONFERENCE,2014,2014Q2,PRINTING AND REPRODUCTION,99.99,99.99
,REPUBLICAN CONFERENCE,2014,2014Q2,OTHER SERVICES,"31,182.64","12,996.06"
,REPUBLICAN CONFERENCE,2014,2014Q2,SUPPLIES AND MATERIALS,"33,299.19","14,599.60"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"1,829,519.98",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,PERSONNEL COMPENSATION,"41,271,975.20","13,862,674.04"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,130.77,130.77
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"5,256.00","1,752.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,132.72,132.72
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,PRINTING AND REPRODUCTION,96.50,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"101,139.98","73,464.04"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"161,386.60","138,041.21"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"125,618.72","93,318.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,TRAVEL,"109,573.78","64,709.43"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES","583,564.96","216,483.16"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,PRINTING AND REPRODUCTION,"38,520.23","-2,145.97"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"704,365.68","406,044.99"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"698,163.59","249,700.03"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"346,646.43","166,021.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES","19,812.33","9,247.41"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"1,751,385.59","749,282.68"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"55,975.21","9,421.71"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES",135.64,45.57
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,PRINTING AND REPRODUCTION,"1,465.00","1,465.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"25,972.50","16,527.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"1,600.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"60,339.17","22,180.27"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"15,896.66","6,375.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"166,237.72","59,433.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"56,565.00","56,565.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"254,914.67",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"453,255.04",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"626,300.00",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,385.70,276.25
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"369,895.75","61,387.85"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"47,080.85","7,429.28"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"3,255.50",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES","40,762.14","25,438.77"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"1,930,144.97","1,355,319.67"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"120,418.95","25,918.29"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"547,848.40","18,150.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"910,728.65","652,196.61"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"783,000.00","587,250.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"7,603.53",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"278,341.78",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"81,985.18",36.90
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"338,905.37","66,165.15"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"75,538.60","26,716.69"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"69,037.47","56,886.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"3,330.22","2,509.92"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"33,985.15","28,206.80"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"90,242.83","90,242.83"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,927.33,246.47
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"6,075.41","2,333.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,TRANSPORTATION OF THINGS,377.01,377.01
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES","26,281.78","15,063.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"22,001.44","4,949.58"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"4,659.00","4,659.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"723,807.20","315,610.19"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"460,888.70","254,467.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"48,321.00","29,988.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"1,943,573.41","603,042.79"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,TRAVEL,24.00,0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,"RENT, COMMUNICATION, UTILITIES","2,335,920.00","662,848.25"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"28,442.53","13,415.23"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"497,407.95",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"123,527.01","89,024.30"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"12,645.28","12,365.77"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"762,980.94","116,362.29"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"21,007.87","21,007.87"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"43,032.00","37,164.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"216,884.02","97,006.50"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"96,907.73","54,147.91"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,SUPPLIES AND MATERIALS,"4,677.53",858.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"22,653.35","20,662.68"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"521,413.96","195,958.92"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,OTHER SERVICES,"69,372.00","69,372.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"392,983.34","2,904.72"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2014,2014Q2,EQUIPMENT,"124,649.73",728.00
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q2,PERSONNEL COMPENSATION,"13,529,732.41","4,509,454.60"
,CLERK OF THE HOUSE,FISCAL YEAR 2014,2014Q2,TRAVEL,"17,511.60","8,168.68"
