BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,OFFICE OF THE SPEAKER,2012,2012Q2,PERSONNEL BENEFITS,12499.98,6249.99
,OFFICE OF THE SPEAKER,2012,2012Q2,FRANKED MAIL,660.09,456.9
,OFFICE OF THE SPEAKER,2012,2012Q2,PERSONNEL COMPENSATION,2645715.34,1323150.06
,OFFICE OF THE SPEAKER,2012,2012Q2,TRAVEL,4391.38,3035.96
,OFFICE OF THE SPEAKER,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",231.18,231.18
,OFFICE OF THE SPEAKER,2012,2012Q2,PRINTING AND REPRODUCTION,2057.6,1115.5
,OFFICE OF THE SPEAKER,2012,2012Q2,OTHER SERVICES,6165.5,0
,OFFICE OF THE SPEAKER,2012,2012Q2,SUPPLIES AND MATERIALS,36584.28,22305.37
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,FRANKED MAIL,123.32,44.8
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,PERSONNEL COMPENSATION,1061530.51,539524.07
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,TRAVEL,2827.83,2203.78
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",1222.26,170.45
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,PRINTING AND REPRODUCTION,541.24,357.66
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,OTHER SERVICES,1579.11,1170
,OFFICE OF THE MAJORITY LEADER,2012,2012Q2,SUPPLIES AND MATERIALS,50303.91,3599.65
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,FRANKED MAIL,201.99,98.42
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,PERSONNEL COMPENSATION,3331365.09,1691182.5
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,TRAVEL,71788.13,42110.27
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",1249.8,648.8
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,PRINTING AND REPRODUCTION,4323.18,3125.31
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,OTHER SERVICES,51416.75,29226.25
,OFFICE OF THE MINORITY LEADER,2012,2012Q2,SUPPLIES AND MATERIALS,62523.55,36771.93
,OFFICE OF THE MAJORITY WHIP,2012,2012Q2,PERSONNEL COMPENSATION,837966.68,433133.33
,OFFICE OF THE MAJORITY WHIP,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",237.23,4.23
,OFFICE OF THE MAJORITY WHIP,2012,2012Q2,PRINTING AND REPRODUCTION,32,32
,OFFICE OF THE MAJORITY WHIP,2012,2012Q2,OTHER SERVICES,3547,3547
,OFFICE OF THE MAJORITY WHIP,2012,2012Q2,SUPPLIES AND MATERIALS,53248.5,34709.8
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,FRANKED MAIL,23.88,0
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,PERSONNEL COMPENSATION,609033.31,312381.97
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,TRAVEL,418.55,418.55
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",520.15,350.15
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,PRINTING AND REPRODUCTION,5897.4,6.4
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,OTHER SERVICES,1180.51,864.17
,OFFICE OF THE MINORITY WHIP,2012,2012Q2,SUPPLIES AND MATERIALS,19529.7,15320.13
,DEMOCRATIC CAUCUS,2012,2012Q2,FRANKED MAIL,15.11,3.15
,DEMOCRATIC CAUCUS,2012,2012Q2,PERSONNEL COMPENSATION,676142.98,369584.25
,DEMOCRATIC CAUCUS,2012,2012Q2,TRAVEL,14922.36,0
,DEMOCRATIC CAUCUS,2012,2012Q2,PRINTING AND REPRODUCTION,78.8,72.4
,DEMOCRATIC CAUCUS,2012,2012Q2,OTHER SERVICES,1809.86,425.06
,DEMOCRATIC CAUCUS,2012,2012Q2,SUPPLIES AND MATERIALS,105013.06,3593.7
,REPUBLICAN CONFERENCE,2012,2012Q2,PERSONNEL COMPENSATION,609859.95,292211.09
,REPUBLICAN CONFERENCE,2012,2012Q2,TRAVEL,121,94
,REPUBLICAN CONFERENCE,2012,2012Q2,"RENT, COMMUNICATION, UTILITIES",4384.95,2375
,REPUBLICAN CONFERENCE,2012,2012Q2,PRINTING AND REPRODUCTION,3862.62,3800.77
,REPUBLICAN CONFERENCE,2012,2012Q2,OTHER SERVICES,142.85,136.9
,REPUBLICAN CONFERENCE,2012,2012Q2,SUPPLIES AND MATERIALS,20653.35,10455.25
,OFFICE OF THE SPEAKER,FISCAL YEAR 2012,2012Q2,PERSONNEL COMPENSATION,548779.96,0
