BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"827,500.00","827,500.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,PERSONNEL COMPENSATION,"14,477,210.48","14,477,210.48"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"1,651.26","1,651.26"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,232.81,232.81
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"1,534.59","1,534.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"37,038.00","37,038.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,227.83,227.83
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,TRAVEL,"9,081.02","9,081.02"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,"RENT, COMMUNICATION, UTILITIES","177,423.64","177,423.64"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,PRINTING AND REPRODUCTION,"7,824.33","7,824.33"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"44,117.18","44,117.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,"339,926.63","339,926.63"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"60,292.62","60,292.62"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"2,112.18","2,112.18"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"26,446.89","26,446.89"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,PRINTING AND REPRODUCTION,"1,420.00","1,420.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"2,888.00","2,888.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,"1,600.00","1,600.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"22,660.00","22,660.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,468.00,468.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"32,796.72","32,796.72"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"117,120.00","117,120.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"338,883.35","338,883.35"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"298,200.00","298,200.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"188,891.24","188,891.24"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"59,277.66","59,277.66"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,284.84,284.84
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"6,324.00","6,324.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"79,183.11","79,183.11"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,"RENT, COMMUNICATION, UTILITIES","1,277.47","1,277.47"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"414,313.77","414,313.77"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,SUPPLIES AND MATERIALS,"2,750.00","2,750.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"126,000.00","126,000.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"20,249.28","20,249.28"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"593,037.26","593,037.26"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,"RENT, COMMUNICATION, UTILITIES","3,816.41","3,816.41"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"48,419.92","48,419.92"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"76,760.59","76,760.59"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"4,740.38","4,740.38"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,OTHER SERVICES,"124,152.22","124,152.22"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2013,2012Q4,EQUIPMENT,"183,617.07","183,617.07"
,CLERK OF THE HOUSE,FISCAL YEAR 2013,2012Q4,PERSONNEL COMPENSATION,"4,460,563.46","4,460,563.46"
,CLERK OF THE HOUSE,FISCAL YEAR 2013,2012Q4,TRAVEL,"3,343.72","3,343.72"
