BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,2405,650
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,979.36,0
,COMMUNICATIONS,FISCAL YEAR 2010,2010Q2,EQUIPMENT,46619.91,12804.59
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,669002.91,221935.83
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,2809262.92,951877.8
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,TRAVEL,48281.41,25655.8
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,"RENT, COMMUNICATION, UTILITIES",17751.65,2650.35
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,PRINTING AND REPRODUCTION,14035.08,5153.7
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,66772.16,25372.27
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,217422.97,134404.38
,OFFICE OF THE SPEAKER,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,23487.33,9179.5
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,334108.37,109608.35
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,1414410.06,482214.91
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,TRAVEL,133.15,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,"RENT, COMMUNICATION, UTILITIES",157.3,0
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,PRINTING AND REPRODUCTION,475.6,57.2
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,403.18,116.71
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,57699.25,26762.6
,OFFICE OF THE MAJORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL BENEFITS,7499.97,2499.99
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,913720.46,329899.6
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,1328819.67,462614.78
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,TRAVEL,436,142
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,"RENT, COMMUNICATION, UTILITIES",825.82,363.65
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,PRINTING AND REPRODUCTION,245.45,78.8
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,495,495
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,91144.11,45298.16
,OFFICE OF THE MINORITY LEADER,FISCAL YEAR 2010,2010Q2,PERSONNEL BENEFITS,7499.97,2499.99
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,124224.66,41250
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,1050874.38,340943.06
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,TRAVEL,2105.8,1622.8
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,"RENT, COMMUNICATION, UTILITIES",556.05,164.33
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,PRINTING AND REPRODUCTION,731.3,416.5
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,4844.81,2271.49
,OFFICE OF THE MAJORITY WHIP,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,73641.01,25459.26
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,266907.05,85799.01
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,PERSONNEL COMPENSATION,815925.28,256854.33
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,TRAVEL,10048.29,6237.4
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,"RENT, COMMUNICATION, UTILITIES",583.26,562.21
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,PRINTING AND REPRODUCTION,2537.44,323.4
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,OTHER SERVICES,990,990
,OFFICE OF THE MINORITY WHIP,FISCAL YEAR 2010,2010Q2,SUPPLIES AND MATERIALS,163835.61,79193.05
